"","ResponseId","email_timing","email","Q1","Q2","Q3","Q5","Q6","Q7","Q9","Q10","Q11","Q13","Q14","Q15","Q16","Q18","Q19","Q20"
"112","R_2YMyugt3jqsgNNz",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"113","R_2ZC7IuGH5as1fLL",0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
"114","R_2ZEWBUc2qnhRaa6",1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
"115","R_2ZPqU9bBMF6JEJL",0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1
"116","R_2aA1itN9JcQO9Tj",0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0
"117","R_2aKS5eBvnO4Ugxl",1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
"118","R_2aQ90Ft13C3dUCk",0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
"119","R_2af6jLeWGUBvJhh",0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"120","R_2at0cj1pghqjR1f",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"121","R_2bIQ1TN6IeWvnkP",0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
"122","R_2cezBmKOu4pVtlu",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"123","R_2dGv6XMluUc6dJh",0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0
"124","R_2dSWDf5thqwCQTn",0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
"125","R_2ebc3Kb6ptspoMi",0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
"126","R_2f2nuC87mnJja0X",1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
"127","R_2fIKwcLh9ruHcNn",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"128","R_2fqcIW1WTtDhnl7",1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
